Comment
अमीरों का कोई कानून बनता😢
"The culture of colonial rule, in which the state sees the people as subjects, deserving to be subjugated and ruled, continues. That is at the root of the truckers’ protest, the fear of arbitrary police action and extortion of bribes. Changing that is far more difficult than changing the names of laws and drafting some new provisions in the law. To call such cosmetic changes decolonization is not just disingenuous but also to recolonize the people into a new kind of oppression: T K Arun, Journalist"
"Truck drivers are our lifeline as they toil behind the wheel for hours to get our essential commodities from state to state delivered. They should be protected, not be penalised or imprisoned in case of a unfortunate accident caused by them but should be counseled and rejoin their jobs with dignity. Their protest is justified"
एक कानून सरकार के लिए भी रोड पर अगर कोई गड्ढे से मरता है या ख़राब रोड की वजह से तो सरकार उस घर को 50 लाख का जुर्माना और 5 चुनाव के लिए निलंबित कर देना चाहिए कोर्ट को जय हिंद जय भारत 🇮🇳
"Imagine the pain family feels for them who have lost their loved ones due to the negligence and rash driving of drivers. Here I intent to say driver to everyone who drives be it truck, tempo to a youth driving car and hitting someone."
This law is for everyone but only truck drivers have problem from this because mostly trucks drivers do this hit and run cases. We really need strong traffic rules to provide safety on roads.
"यहीं हड़ताल मोबाइल कंपनियों के लिए भी होना चाहिए, अब मनमानी नही चलेगी 🙏🙏🙏"
"These Laws need to be applied to all road users, trucks, cars tractors, moterbiks, scooters, cyclists etc"
"I dont think these laws are bad, if you check western countries they also require the person who had a minor collision to causing someone's death to remain at the site or else the you would face severe charges. In usa your drivers license can also be temporarily revoked depending on the case."
"मोदी जी बारी बारी से सबका नम्बर लगा रहे हैं, चाहे जवान, किसान, पहलवान, नवजवान, प्रोफेसर, छात्र, मजदूर किसी को छोड़ा नहीं है😢"
You cannot blame anyone....... You Never know what is NEXT........It's LIFE............ 🇮🇳
Bilkul sahi hai mere sare driver bhaio justice for drivers ❤ Jay hind
"जवान, किसान और गरीब सबको परेशान कर रखा है इस सरकार ने।"
"This means the drivers are sure they will do rash driving and cause accidents
If they don’t do accidents they will not have to pay fine or go to jail as per new law."
"No politician is above the country...laws passed unilaterally by handful of politicians without consultation, research, parliamentary debates should never be adopted... and hence be ruled unconstitutional by SCI."
These laws affect not only trucks nd buses but all wheelers .
"I am with Government.
When someone lost their relative by an accident then you will understand that these are right laws"
sahi hain yrr aisa kanun nahi chahiye bekar...inko kya pata hoti hain driver ki life ❤
ट्रक ड्राइवर भी आम इंसान ही होते हैं उनके हितों को ध्यान में रखकर कोई भी कानून बनाना चहिए।
"Well done  to our truck driver's 
Is government ko iase he treat Karen ke layak hai bas common people ke liye he bas inka rule banta hai"
Full support to Modi ji. I hope these truck drivers sell their trucks and sit at home like all of us.
"Its good rule because that much driver suffering to see family in other case other familys are waiting for there love ones who got hit and run case 
.........and never been solvevd"
"Full support to Modi govt.
All the guilty should be punished."
"मैं उम्मीद कर रहा था कि ABPLIVE पहले इस मुद्दे का वर्णन करने के लिए पर्याप्त ज़िम्मेदार होगा
ट्रक ड्राइवरों के complaint और लागू कानून  जो इसके केंद्र में प्रतीत होता है I
पहले दर्शकों को समझने दीजिए  I"
"सभी परेशान हैं किसान, नौजवान बेरोजगार, गृहिणी, ड्राइवर, आम जनता...."
"Full support to the government,a very good decision taken by  GOI"
"नेताओं से पूछना चाहिए कि नेताओं के एजुकेशन कैटीरिया  कब फिक्स करेगा ,कॉलिजियम सिस्टम कब खत्म होगा तथा नेताओं का पेंशन कब खत्म होगा?"
"No one is thinking about that person who lost his/her life or body part in the hit and run case . So hypocritical society .
The cost of the human body part or his/her life is more than 10 lakhs and 10 years of jail 
So think before going against this law"
जिस दिन मीडिया ईमानदारी से काम करने लगेगा उस दिन ये सब नही देखना परेगा।
"हमरा सरकार से कोई विरोध नही नही जनता से
कोई विरोध है बिना रास्ता जाम कि सराकर 
सुनती नही है। 🙏🙏"
कानून भी सोच समजकर बनाना चाहिए ना! जब अन पढ लोग सरकार को चाल रहे तो आईसे कानुन बनकर public को तकलीफ देते है! ये कोनासा कानून जो ७ lac fine or १० yrs Jail. कानून सिर्फ common लोगो के बना हे! नेता लोगो को नहीं... Driver की life कभी driver से पूछो...
This is what happens when laws are passed without discussion in the parliament
Minimum 3 days to be continued unitedly ...whole country .whole driver .
ऐ हमारे देश के लोगों के लिए दुर्भाग्य हैकि एक मरता है तो दूसरा व्यक्ति देखता है ज्य भारत
ऐसा काला कानून सिर्फ गरीबों पर ही लागू होता है।।
"Ye law truck drivers ko nahi..drink and drive hit run,rush and fast driving ke liye hona chahiye.."
Kanoon garibon ke liye Hota Hai😢😢
"किसान,मजदूर ,जवान ,पहलवान बेटियों, ड्राईवर , 😢😢। लेकिन मीडिया सच्चाई नही दिखाती हैं थू 🦮🦛🐖 ये है इनकी ओकात"
"बिना सिर पैर की नीतियों से बनाए नित-नए कानूनों को कोई नहीं समझ पाया।
युवाओं के लिए कानून लाए, तो वो सड़कों पर आ गए, कृषि कानून लाए तो, किसानों ने विरोध प्रदर्शन किया, अपने चरित्र अनुसार ये नया यान परिवहन कानून लाए तो, ड्राइवरों की संस्थाओं ने विरोध करना शुरू कर दिया।"
"ड्राइवर कौन बनता ?
             गरीब इंसान
 * बिना जानबूझकर भी गाड़ी चलाने वक्त किसी का भी एक्सीडेंट हो सकता है  , आप गरीब इंसान से 10 लाख का मुआवजा मांग + जेल  
  
     यह कहां तक न्याय संगत है !!
           जेल जाने के बाद उसकी फैमिली का केयर कौन करेगा 😢"
Mere ghar pe do choti ladki ek ladka buddhe maa baap bhai behen gaon dost rishtedar sab bhulke din raat do paiso ke liye truck chalte hein aur janta ki har jarurat time pe pohchane walo ko itni badi nainsafi😢😢🇮🇳🙏🙏
This Law is for everyone not just heavy vehicle driver.
अब ड्राइवर होश में आया अभी तक सारे दुख हंस के झेलता था
Without proper discussion  no law should be passed
Ik din esa aayega jb desh ka har aam aadmi sadak par utarne ko majboor ho jayega
"कानून बनाया जाता है आम लोगों के फायदा और खुशी के लिए,, और यहां तो हर कानून लोगों को सता रहा है ❌"
"❤🎉 Driving ka kanun jarurat he lekin kuch samajh ke karna chahiye,,,, driver goods transport korti he  koy neta muntri ne hi korti he,,,,,"
Support to aam Aadmi party.. jinko modi ne jhuthe ilzam laga kar badnam kar Diya hai..inke neta pade likhe hai..or garib ke haq ke liye lad rahe hai
ये वही ड्राइवर भाई लोग हैं जो जुमला सरकार को जिताया था 😢😢😢
Hum driver bhaiyo Kai sath hai ❤sai
"Bilkul sahi hai driver bhi apne baap ki road समझते हैं lekin sab drive ek jaise nahi hote, Jo सड़क पर लड़की देख कर हार्न मारते हैं उनके यह कानून सही है"
"Well explained all the loopholes of horrible laws being introduced.
Esp about bad roads with huge potholes, heavy dracnion tolltax, no basic facilities like food and restrooms not available by the roadside."
सरकार को कानून हिलाना था तो ड्राइवर के लिए कुछ अच्छा कानून भी लाना चाहिए था जिसमें कि उनके 1 दिन में गाड़ी चलाने के घंटे निर्धारित हो तनक तो उनको 10000 12000 मिलती है पर दिन में 20-20 घंटे गाड़ी चलानी पड़ती है 2 2 3 3 3 3 3 3 3 लगातार गाड़ी चलाते हैं बिना सोए इसी वजह से इनका एक्सीडेंट होता है जगह जगह इनको पुलिस वालों द्वारा और आरटीओ ऑफिस वालों द्वारा लूटा जाता है
I support driver ❤
अंत में गोदी मीडिया को दिखाना ही पड़ा पब्लिक चाहे तो क्या नही हो सकता।
Aare bhai ham log ke saath aais hi hota 😢😢 hai 😢😢
देश के नुकसान की सबको चिंता है पर एक ड्राइवर की जान की चिंता किसी को नहीं है क्या ड्राइवर एक मां का लाल नहीं है किसी बहन का भाई नहीं है या किसी बच्चे का पिता नहीं है जिस तरह आपको देश की चिंता है उसे तरह एक ड्राइवर की चिंता करना चाहिए
I have seen rush driving by lots of bus driver and truck drivers.. specially gov transport driver making very rush driving... sometime Tuck drivers handover the wheel to their partner to drive the truck.... but I realised that this rule only made for Drivers but what about the people who carelessly crossing the road and driving small vehicle..Gov also think abt it... sometime I am also making long drive through my private car and facing lots of problems by locals movement on road...Gov made the law one sided.. Accident not always happened by driver's fault..Gov should reconsider it.. 🙏
ड्राइवरो की ज़िन्दगी आसान नहीं उनको हर एक दिन बहुत कुछ सहना पड़ता है वो ट्रक या बस अपने परिवार के लिए चलाता है ट्रैफिक पुलिस वाले तंग करते है पैसा वसूलते है मार पिट तक करते है मैंने कही बार अपने आँखों से देखा है इसपर सरकार कुछ करती नहीं और कहती नहीं है ये क़ानून सबसे बड़ा लूट वाला क़ानून है
Ya hi to garib bhaiyo ki taqat hai jai hind
"फुल स्पोर्ट ड्राइवर भाई लोग।
मोदी अमित शाह हटाओ
देश बचाओ।"
"Driver ka salary 50 thousand, 25 lakh Insurance for both driver and victim of accident, 10 hour compulsory neend , sensor in truck, camera in truck.
And this kaala kanoon wapis lia jae"
Driver hamare desh ke dhadkan hai ❤❤
"Very true, all drivers lives are at risk in case they meet with a accident and they will be in danger and their families will also suffer. The law must be reversed"
"Tadipar ko girh mantri bhi nhi bana chaiye ye bhi kanoon hona chahiye..tab es kanoon ko sahi samjha jayega.

Garibi nhi garibo ko hi khatam kar do yhi desh me chal rha hai...pahle kisan fir jawan aur ab driver ...😢😢"
सरकार ने ड्राइवर के लिए कुछ अच्छा तो सोच नहीं सकता तो बुरा भी नही सोचना चाहिए
ड्राइवर रुका समझो देश रुका😢 बहुत बड़ा आर्थिक नुकसान होगा जनता देश और सरकार को 😢
Driver ko Insaaf Milana chahie
ट्रक हड़ताल से जनता का नहीं सरकार का कितना नुक़सान।
So how public are responsible for this 😢 lot's of works were stopped today 😓😑this is not good
My god everyone in the big mess in this life
Drivers need to understand The LAW
फुल सपोर्ट भाई लोग दिखा दो इन्हें हम लोग क्या चीज़ है पिछे नहीं हटना  है जो होगा देखा जायेगा
